title,director,release_year,description,type,runtime,genres,9.9
drive,Tarun Mansukhani,2019,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities; who have their own dirty secrets.",movie,147,"Action;Crime;Thriller",3.1
drive,Tarun Mansukhani,2019,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities; who have their own dirty secrets.",tvEpisode,35,"Action;Drama;Horror",7.5
driven to dance,,2018,"A young dancer grapples with her dream to join a famed ballet company against the wishes of her mother; who pushes her to pursue a more practical path.",movie,98,Drama,4.2
drug lords,,2018,"Witness the stories of history's most notorious kingpins; their terrifying enforcers; and the men and women who've sworn to bring them down.",tvSeries,42,Documentary,6.9
drunk parents,Fred Wolf,2019,Two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends.,movie,97,Comedy,3.9
dry martina,Che Sandoval,2018,An odd encounter with a fan and a tryst with that fan's ex-boyfriend leads a sexually adventurous singer on an escapade in Chile.,movie,95,"Comedy;Drama",5.8
duck butter,Miguel Arteta,2018,"Wary of dishonesty in relationships; two young women embark on a 24-hour experiment on intimacy; but their romance flounders as the clock winds down.",movie,93,"Comedy;Drama;Romance",5.3
duck duck goose,Chris Jenkins,2018,"As his flock's annual migration nears; a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.",movie,91,"Adventure;Animation;Comedy",5.8
duck duck goose,Chris Jenkins,2018,"As his flock's annual migration nears; a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing.",short,7,"Drama;Short",6.6
dude,Olivia Milch,2018,Four best friends navigate loss and major life changes â€“ and smoke a lot of weed â€“ during their last two weeks of high school.,movie,97,"Comedy;Drama",5.1
dukhtar,Afia Nathaniel,2014,A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.,movie,93,"Drama;Thriller",7.0
dum,Eeshwar Nivas,2003,"When one of his colleagues becomes corrupted by power and goes over to the dark side; a young police officer tries to bring the offender to justice.",movie,166,"Action;Crime;Drama",5.6
dumb and dumberer: when harry met lloyd,Troy Miller,2003,This wacky prequel to the 1994 blockbuster goes back to the lame-brained title characters' days as classmates at a Rhode Island high school.,movie,85,Comedy,3.4
dumplin',Anne Fletcher,2018,"To prove a point about measuring up and fitting in; Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.",movie,110,"Comedy;Drama",6.6
duniya,Ramesh Talwar,1984,"A lawyer defends his childhood friend â€“ and girlfriend's brother â€“ in a murder case; unaware of his own deep connection to the attorney heâ€™s up against.",movie,169,"Action;Drama",7.1
duplicate,Mahesh Bhatt,1998,"Hilarious mix-ups and deadly encounters ensue when a convict seeks to escape authorities by assuming the identity of his doppelgÃ¤nger; a perky chef.",movie,164,"Action;Comedy;Crime",5.6
dying to tell,HernÃ¡n Zin,2018,"Seeking answers after a life-changing incident in 2012; filmmaker HernÃ¡n Zin interviews other war reporters about the personal toll of their work.",movie,87,Documentary,6.8
e-team,"Katy Chevigny; Ross Kauffman",2014,The courageous investigators of Human Rights Watch's Emergencies Team risk their lives to document unlawful attacks on civilians by brutal dictators.,movie,88,"Documentary;War",7.1
earth and blood,Julien Leclercq,2020,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,movie,80,"Action;Drama;Thriller",4.9
earth to echo,Dave Green,2014,"When a construction project begins in their neighborhood; four friends start receiving bizarre encoded text messages on their cell phones.",movie,91,"Adventure;Family;Sci-Fi",5.8
earth's natural wonders,,2015,Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,tvSeries,60,Documentary,7.6
earthquake bird,Wash Westmoreland,2019,"In 1980s Tokyo; an enigmatic expat is suspected of killing her friend; who's gone missing in the wake of their love triangle with a local photographer.",movie,107,"Crime;Drama;Mystery",5.9
easy a,Will Gluck,2010,"When a lie about Olive's reputation transforms her from anonymous to infamous at her high school; she decides to embrace a provocative new persona.",movie,92,"Comedy;Drama;Romance",7.0
eat pray love,Ryan Murphy,2010,"After deciding to reshape her life after divorce; Liz travels around the world in search of good food; spirituality and true love.",movie,133,"Biography;Drama;Romance",5.8
eddie - strongman,Matt Bell,2015,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.,movie,98,Documentary,7.5
eddie murphy: delirious,Bruce Gowers,1983,"Flashing the wild stand-up comedy that made him a household name; Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",tvSpecial,69,Comedy,8.2
eddie murphy: raw,Robert Townsend,1987,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions; observations and remembrances of his childhood.",movie,93,"Comedy;Documentary",7.7
edge of fear,Bobby Roth,2018,"During a wilderness getaway; a gang of sociopathic criminals kidnap a woman and assault her husband; who must summon all his strength to save her.",movie,91,"Action;Thriller",4.4
edge of seventeen,David Moreton,1998,A 17-year-old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences.,movie,99,"Comedy;Drama;Romance",6.8
edha,,2018,"Revenge; passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",tvSeries,40,Drama,4.8
edoardo ferrario: temi caldi,Francesco Imperato,2019,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel; social media and people who like craft beer.",tvSpecial,65,Comedy,6.8
ee nagaraniki emaindi,Tharun Bhascker,2018,"In Goa and in desperate need of cash; four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",movie,122,"Comedy;Drama",7.9
eeda,Ajithkumar,2018,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.,movie,152,"Drama;Romance",7.2
effie gray,Richard Laxton,2014,"Trapped in a loveless marriage; the young wife of Victorian-era art critic John Ruskin finds herself falling for an artist â€” and looking for a way out.",movie,104,"Biography;Drama;Romance",6.0
eggnoid: love & time portal,Naya Anindita,2019,"Sent from the future to look after a lonely girl; Eggy finds himself falling for her. But dating is forbidden and would risk both their fates.",movie,102,"Drama;Fantasy;Romance",6.3
eh janam tumhare lekhe,Harjit Singh,2015,"Driven by the lessons he learned from his mother; and the values of the Sikh religion; a man sets out on a mission to serve humanity.",movie,135,Biography,8.6
ek cup chya,"Sumitra Bhave; Sunil Sukthankar",2009,A poor bus conductor's efforts at obtaining information about his enormous electricity bill are hindered by a corrupt system.,movie,120,Drama,7.4
ek hasina thi,Sriram Raghavan,2004,"Imprisoned for underworld crimes she didnâ€™t commit; a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her.",movie,120,"Crime;Drama;Mystery",7.5
ek jaan hain hum,Rajiv Mehra,1983,"While trying to win over his belovedâ€™s parents; a young man is accused of arson; and his father soon realizes insanity may be his only defense.",movie,151,"Family;Romance",6.5
ek khiladi ek haseena,Suparn Verma,2005,"Indebted to a gangster; a grifter assembles a band of fellow swindlers to attempt his biggest scam yet; but it's soon clear that no one can be trusted.",movie,143,"Comedy;Crime;Thriller",5.7
ek ladki ko dekha toh aisa laga,Shelly Chopra Dhar,2019,"As her family seeks to marry her off and a hopeful writer pursues her; a small-town woman struggles to reveal the long-hidden truth about who she loves.",movie,120,"Comedy;Drama;Romance",5.5
ek main aur ekk tu,Shakun Batra,2012,Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.,movie,110,"Comedy;Drama;Romance",5.7
el camino christmas,David E. Talbert,2017,"Stuck in a liquor store during an alleged robbery; a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve.",movie,89,"Comedy;Crime;Western",5.7
el camino: a breaking bad movie,Vince Gilligan,2019,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan; starring Aaron Paul.",movie,122,"Action;Crime;Drama",7.3
el chapo,,2018,"This drama series chronicles the true story of the rise; capture and escape of notorious Mexican drug lord JoaquÃ­n ""El Chapo"" GuzmÃ¡n.",tvEpisode,81,Documentary,8.4
el che,MatÃ­as Gueilburt,2017,"Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary.",movie,119,"Biography;Documentary;History",6.0
el club de los insomnes,"Joseduardo Giordano; Sergio Goyri Jr.",2018,"An insomniac; an aspiring photographer and a pregnant veterinarian form a unique friendship during late-night meetings at a 24-hour mini-mart.",movie,80,Drama,6.3
el fin de eta,Justin Webster,2017,"This documentary chronicles the decade-long process that led to the end of the ETA; a Basque terrorist group that operated for more than 50 years.",movie,107,Documentary,6.9
el lÃ­mite infinito,Pablo Aulita,2020,"From early struggles to his climb up the Himalayas; Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.",short,39,"Documentary;Short",8.6
el sendero de la anaconda,Alessandro Angulo,2019,"In the most remote areas of the Amazon jungle; a writer and his anthropologist friend meet communities who have resisted change for centuries.",movie,73,Documentary,6.8
el silencio es bienvenido,Gabriela GarcÃ­a Rivas,2017,"As a teen languishes during a spiritless road trip; she learns of the troubles in her parents' marriage as a crisis in her country looms.",movie,95,Drama,4.6
el testigo,Kate Horne,2018,Colombian photojournalist JesÃºs Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.,movie,76,Documentary,8.1
elaan,K. Ramanlal,1971,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured; a fellow prisoner gives him a ring with magic powers.",movie,144,"Action;Drama;Musical",6.0
elena,Petra Costa,2012,"In this documentary; the director remembers a sister who left behind her life under Brazilâ€™s dictatorship and moved to New York with dreams of acting.",tvEpisode,43,"Documentary;Drama",8.0
elena,Petra Costa,2012,"In this documentary; the director remembers a sister who left behind her life under Brazilâ€™s dictatorship and moved to New York with dreams of acting.",movie,80,"Biography;Documentary;Drama",7.6
elevator baby,Akhigbe Ilozobhie,2019,"A chance encounter brings a brash; wealthy young man and an underprivileged woman together when they get stuck in an elevator and she goes into labor.",movie,83,"Comedy;Drama",7.0
eli,CiarÃ¡n Foy,2019,"With his desperate parents in tow; an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",short,11,"Animation;Short",6.3
eli,CiarÃ¡n Foy,2019,"With his desperate parents in tow; an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",movie,98,"Drama;Horror;Mystery",5.7
eli,CiarÃ¡n Foy,2019,"With his desperate parents in tow; an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",short,11,"Drama;Short",7.3
elisa & marcela,Isabel Coixet,2019,"In 1901 Spain; Elisa SÃ¡nchez Loriga adopts a male identity in order to marry the woman she loves; Marcela Gracia Ibeas. Based on true events.",movie,118,"Biography;Drama;Romance",6.5
elizabeth at 90: a family tribute,John Bridcut,2016,A blend of the royal family's intimate recollections and rarely seen home movies pays tribute to Queen Elizabeth II on the eve of her 90th birthday.,tvMovie,70,Documentary,7.7
ellen degeneres: relatable,"Joel Gallen; Tig Notaro",2018,"In her first special since 2003; Ellen revisits her road to stardom and details the heartfelt â€“ and hilarious â€“ lessons she's learned along the way.",tvSpecial,68,Comedy,6.5
elles ont toutes une histoire,Nils Tavernier,2016,"From Asia; Africa and Latin America; five women share extraordinary stories of strength and determination in the face of violence and inequality.",movie,49,Documentary,6.2
elliot the littlest reindeer,Jennifer Westcott,2018,"When Blitzen suddenly retires; a miniature horse determined to join Santa's reindeer team faces fierce competition in the North Pole tryouts.",movie,89,"Animation;Family",5.1
elstree 1976,Jon Spira,2015,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",movie,97,Documentary,5.9
emi: liya hai to chukana padega,Saurabh Kabra,2008,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,movie,180,"Comedy;Crime;Drama",4.2
emily in paris,,2020,"After landing her dream job in Paris; Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work; friends and romance.",tvSeries,30,"Comedy;Drama;Romance",7.0
emily in paris,,2020,"After landing her dream job in Paris; Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work; friends and romance.",tvEpisode,29,"Comedy;Drama;Romance",7.1
emma' (mother),Riri Riza,2016,"In 1950s Makassar; the life of a devoted mother is upended when another woman enters her husband's life.",movie,77,Drama,7.0
emo the musical,Neil Triffett,2016,"Expelled from private school for attempted suicide; emo Ethan enters the world of Seymour High and meets a cute Christian who's ready to convert him.",movie,94,"Comedy;Music;Musical",6.0
empire games,,2018,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.,tvSeries,50,"Documentary;History",5.7
employee of the month,Greg Coolidge,2006,Warehouse workers Vince and Zack compete in a full-on war to be named Employee of the Month and win a date with their dream girl.,movie,103,"Comedy;Romance",5.5
encounter: the killing,Ajay Phansekar,2002,"After accidentally killing a young mobster; a guilt-stricken police officer searches for the parents who never came forward to claim their son's body.",movie,150,"Crime;Drama",6.3
end game,"Rob Epstein; Jeffrey Friedman",2018,"Facing an inevitable outcome; terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death.",tvEpisode,40,"Drama;Romance",7.0
end game,"Rob Epstein; Jeffrey Friedman",2018,"Facing an inevitable outcome; terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death.",short,40,"Documentary;Short",7.1
end of watch,David Ayer,2012,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles; an area of the city ruled by gangs and riddled with drug violence.",movie,109,"Action;Crime;Drama",7.6
enemy,Denis Villeneuve,2013,"When a humdrum academic spots his double in a movie; he launches a search that leads him to a small-time actor who looks exactly like him.",movie,91,"Drama;Mystery;Thriller",6.9
engineering girls,,2018,"Three engineering students deal with dorm drama; date around; and do whatever it takes to make their dreams come true.",tvSeries,20,"Comedy;Drama",7.0
english babu desi mem,Praveen Nischol,1996,"After his brother dies; wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him.",movie,170,"Comedy;Drama;Musical",4.7
enissa amani: ehrenwort,Max Amini,2018,"Live from Hamburg; Iranian-German comedian Enissa Amani shares her take on German engineering; tax deductions and online fan-mail etiquette.",tvSpecial,60,Comedy,5.6
enlighten us,Jenny Carchman,2016,This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.,movie,93,Documentary,6.2
enola holmes,Harry Bradbeer,2020,"While searching for her missing mother; intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",movie,123,"Action;Adventure;Crime",6.6
entangled,,2014,"When the children of two families become friends; they begin to unravel a horrific crime in the past that already linked their fathers to each other.",short,16,"Drama;Sci-Fi;Short",8.1
entangled,,2014,"When the children of two families become friends; they begin to unravel a horrific crime in the past that already linked their fathers to each other.",movie,94,"Drama;Family",6.8
enter the anime,Alex Burunova,2019,"What is anime? Through deep-dives with notable masterminds of this electrifying genre; this fast-paced peek behind the curtain seeks to find the answers.",movie,58,Documentary,2.5
enter the dragon,Robert Clouse,1973,"Recruited by a British agent; Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord.",movie,102,"Action;Crime;Drama",7.7
enter the warriors gate,Matthias Hoene,2016,"An avid gamer is magically transported to ancient China; where he must become a warrior in order to save the princess from an evil warlord.",movie,108,"Action;Adventure;Comedy",5.4
equals,Drake Doremus,2015,Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.,movie,101,"Drama;Romance;Sci-Fi",6.1
equestria girls: tales of canterlot high,,2017,"In an alternate universe Equestria; the ponies have become teenage girls who must learn what it means to be human while attending Canterlot High.",tvMiniSeries,22,Animation,9.3
equilibrium,Kurt Wimmer,2002,"In a dystopian future; a totalitarian regime maintains peace by subduing the populace with a drug; and displays of emotion are punishable by death.",movie,107,"Action;Drama;Sci-Fi",7.4
equinox,,2020,"Haunted by visions after her sister vanished with her classmates 21 years before; Astrid begins an investigation that uncovers the dark; eerie truth.",movie,110,Drama,7.3
erased,,2016,"Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past; he has a chance to save his murdered classmates.",movie,120,"Drama;Mystery;Sci-Fi",6.5
erased,,2016,"Satoru Fujinuma can travel back in time to save others' lives. When he wakes up 18 years in the past; he has a chance to save his murdered classmates.",tvMiniSeries,264,"Animation;Drama;Fantasy",8.5
eric andre: legalize everything,Eric Notarnicola,2020,"Eric Andre takes the stage in New Orleans and tackles flawed fast-food icons; the wonders of autofill and the bizarre choice for the ""Cops"" theme song.",tvSpecial,51,Comedy,6.1
escaping tel aviv,Sherif Arafa,2009,"After her husband reveals he's an undercover Mossad agent; an Egyptian woman and their children are taken to Israel; prompting an urgent rescue mission.",movie,119,"Action;Drama;Thriller",7.3
eternal love,,2017,"After the deities Bai Qian and Ye Hua meet and fall in love; their romance stands the test of three lifetimes â€” each an epic in its own right.",movie,107,Drama,8.3
ethirmarai,,2018,"While investigating a brutal string of deaths; a detective begins to suspect that mind control may have played a part in the murders.",movie,90,"Crime;Thriller",5.1
ethos,,2020,A group of individuals in Istanbul transcend sociocultural boundaries and find connection as their fears and wishes intertwine.,tvSeries,49,"Drama;Thriller",8.6
eugenie nights,,2018,"In 1940s Port Said; Kariman finds comfort and solace in the arms of an unhappily married man; who also happens to be her abusive husband's brother.",tvSeries,45,"Drama;Romance",7.3
euphoria,Valeria Golino,2018,"An entrepreneur prone to partying and his estranged brother; a teacher resigned to a humdrum life; begin to bond under fragile circumstances.",movie,115,Drama,6.4
eurovision song contest: the story of fire saga,David Dobkin,2020,"Two small-town singers chase their pop star dreams at a global music competition; where high stakes; scheming rivals and onstage mishaps test their bond.",movie,123,"Comedy;Music",6.5
evan almighty,Tom Shadyac,2007,"God summons narcissistic Evan to build an ark in preparation for a flood. Meanwhile; Evan's family interprets his new hobby as a midlife crisis.",movie,96,"Comedy;Family;Fantasy",5.4
even the rain,IcÃ­ar BollaÃ­n,2010,"While making a film about the incursion of Christopher Columbus in the New World; a director finds the Bolivian locals protesting modern exploitation.",movie,103,"Drama;History",7.4
evening shadows,Sridhar Rangayan,2018,"When her son comes out to her as gay; a religious mother struggles to reconcile his truth with her own beliefs and their orthodox family values.",movie,102,Drama,7.1
event horizon,Paul W.S. Anderson,1997,"After a signal is received from a long-missing spaceship; a rescue ship investigates; but the crew soon realizes something unimaginable has happened.",movie,96,"Horror;Sci-Fi;Thriller",6.7
every time i die,Robi Michael,2019,"After a paramedicâ€™s violent death during a weekend trip; his spirit inhabits his friendsâ€™ bodies in an effort to save them from a similar fate.",movie,98,Thriller,5.1
everyday i love you,Mae Czarina Cruz,2015,"While patiently waiting for her boyfriend to come out of his coma; Audrey finds herself falling for the caring and successful Ethan.",movie,122,"Drama;Romance",7.0
everything about her,Joyce Bernal,2016,A hard-driving real estate tycoon who becomes ill with cancer hires a medical caretaker who helps her begin to mend fences with her estranged son.,movie,127,"Comedy;Drama",7.2
everything sucks!,,2018,"It's 1996 in a town called Boring; where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era.",tvSeries,30,"Comedy;Drama",7.5
evil,,2019,A forensic psychologist partners with a Catholic priest-in-training to investigate miracles and demonic possession in this supernatural drama.,tvSeries,42,"Crime;Drama;Horror",7.7
evolution,Ivan Reitman,2001,"After two community college geology professors discover microscopic alien life-forms on a meteorite; the military and government become involved.",movie,101,"Comedy;Sci-Fi",6.1
evolution,Ivan Reitman,2001,"After two community college geology professors discover microscopic alien life-forms on a meteorite; the military and government become involved.",tvEpisode,30,Comedy,6.5
evvarikee cheppoddu,Basava Shankar Eeday,2019,"When caste differences throw a wrench into their otherwise blossoming relationship; a couple must somehow convince the girlâ€™s father to let them marry.",movie,133,Drama,7.2
examination of conscience,,2019,"Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors; clergy; journalists and other experts.",tvMiniSeries,154,"Crime;Documentary;History",8.0
executive decision,Stuart Baird,1996,"When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington; D.C.; commandos use an experimental plane to try to stop them.",movie,133,"Action;Adventure;Thriller",6.4
exes baggage,Dan Villegas,2018,"After years apart; a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past.",movie,104,"Drama;Romance",6.7
exhibit a,,2019,This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.,tvSeries,144,"Crime;Documentary",6.2
exit strategy,Michael Whitton,2012,"When James's living situation turns sour; he has little choice but to move in with his new girlfriend â€“ a decision he almost immediately regrets.",movie,76,"Comedy;Romance",3.1
exit strategy,Michael Whitton,2012,"When James's living situation turns sour; he has little choice but to move in with his new girlfriend â€“ a decision he almost immediately regrets.",tvEpisode,43,"Action;Crime;Drama",7.7
exit wounds,Andrzej Bartkowiak,2001,Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops.,movie,101,"Action;Crime;Thriller",5.6
expedition china,Ben Wallis,2017,"Cinematographers visit the remote forests and mountains of China in hopes of capturing footage of pandas; monkeys; red-crowned cranes and more.",movie,78,Documentary,6.4
expedition happiness,Selima Taibi,2017,"A filmmaker and his musician girlfriend attempt an epic road trip with their dog; traveling across North America in a refurbished school bus.",movie,95,Documentary,5.9
expo,Joseph Mbah,2019,"Mistakenly accused of kidnapping; a veteran soldier leaves a trail of broken bad guys in his wake as he tries to rescue a teen sex trafficking victim.",movie,80,"Action;Crime;Drama",2.6
extinction,Ben Young,2018,"Plagued by dreams of an alien invasion; a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants.",movie,95,"Action;Drama;Sci-Fi",5.8
extinction,Ben Young,2018,"Plagued by dreams of an alien invasion; a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants.",movie,85,Documentary,5.3
extraction,Sam Hargrave,2020,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,tvEpisode,6,"Comedy;Talk-Show",6.0
extraction,Sam Hargrave,2020,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,movie,116,"Action;Thriller",6.7
extracurricular,,2020,A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,tvSeries,50,"Crime;Drama",7.7
extremis,Dan Krauss,2016,"Witness the wrenching emotions that accompany end-of-life decisions as doctors; patients and families in a hospital ICU face harrowing choices.",short,24,"Documentary;Short",7.3
eye for an eye,Paco Plaza,2019,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse; whose life was tragically impacted by the drug lord.",tvEpisode,43,"Crime;Documentary",8.2
eye for an eye,Paco Plaza,2019,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse; whose life was tragically impacted by the drug lord.",movie,98,"Action;Thriller",3.3
eye for an eye,Paco Plaza,2019,"A cartel boss is released from prison and unknowingly put in the care of a vengeful nurse; whose life was tragically impacted by the drug lord.",movie,107,"Action;Drama;Thriller",6.6
ezel,,2009,A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.,tvSeries,90,"Crime;Drama;Thriller",8.6
f.r.e.d.i.,Sean Olson,2018,"Venturing into the woods; high schooler James discovers an intelligent robot that he must save from the hands of a businessman with an evil scheme.",movie,89,"Adventure;Family;Sci-Fi",5.0
fabulous lives of bollywood wives,,2020,"Cameras follow the banter and bonding between four fun-loving women from Bollywoodâ€™s inner circle as they juggle professions; family and friendship.",tvSeries,35,Reality-TV,3.6
fairy tail,,2009,"When four young wizards team up to take jobs across the kingdom; they forge a bond more powerful than any magic and grow stronger with every mission.",tvSeries,24,"Action;Adventure;Animation",8.0
fairy tail,,2009,"When four young wizards team up to take jobs across the kingdom; they forge a bond more powerful than any magic and grow stronger with every mission.",tvEpisode,25,"Action;Adventure;Animation",8.0
fakkah fuzz: almost banned,Michael McKay,2018,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.,tvSpecial,60,Comedy,4.2
fakta ladh mhana,Sanjay Jadhav,2011,"A young man enlists the help of his friends to avenge his uncle's death by taking on a powerful; unscrupulous politician.",movie,145,"Action;Drama;Thriller",6.3
fall girls,Chris Stokes,2019,"Following a night of hard partying that left their tycoon boss dead; four women try to keep it a secret in hopes of closing a billion-dollar deal.",movie,80,Comedy,4.0
fall in love with me,,2014,The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger â€“ not realizing they're the same person.,tvSeries,90,Romance,7.2
fallen,Gregory Hoblit,1998,A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.,movie,124,"Action;Crime;Drama",7.0
fallet,,2017,A Swedish detective and her timid British colleague's attempt to solve a gruesome murder case nets mixed results and miscommunication.,tvSeries,28,"Comedy;Crime",6.8
falling inn love,Roger Kumble,2019,"When a San Francisco exec wins a New Zealand inn; she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",movie,98,"Comedy;Romance",5.6
familiye,"Sedat Kirtan; Kubilay Sarikaya",2017,"An ex-con struggles to take care of his two brothers; a gambling addict and a young man with Down syndrome; after being released from prison.",movie,92,Drama,6.4
family blood,Sonny Mallhi,2018,"A former addict moves to a new city with her children for a fresh start; but her struggle soon takes on an unexpected; supernatural dimension.",movie,92,"Drama;Horror;Thriller",4.2
family business,,2020,"After learning France is about to legalize pot; a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana cafÃ©.",tvEpisode,43,"Comedy;Drama",7.2
family reunion,,2020,"When the McKellan family moves from Seattle to small-town Georgia; life down South â€“ and traditional grandparents â€“ challenge their big-city ways.",tvEpisode,43,Reality-TV,7.3
famous in ahmedabad,Hardik Mehta,2015,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at Indiaâ€™s biggest kite-flying festival.,short,29,"Comedy;Documentary;Drama",7.5
fan of amoory,Salmeen AlMurry Amer,2018,"Inspired by his idol Omar Abdulrahman; a young boy navigates obstacles as he chases his dream of becoming a professional soccer player.",movie,91,Drama,5.0
fanatic,Keith L. Smith,2019,"When a successful young rap star has an affair with an obsessive fan; his life is turned upside down when she kidnaps him.",tvMovie,91,Thriller,3.0
fanatyk,MichaÅ‚ Tylka,2017,"As a son deals with his own struggles; he must calm his father's obsession with fishing before his outlandish behavior ruins the entire family.",short,33,"Comedy;Short",6.6
fantastica,Barry Gonzalez,2018,The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.,movie,115,"Comedy;Fantasy",4.1
faraar,Baljit Singh Deo,2015,"When a man is arrested on arrival in America because authorities mistake him for a wanted gangster; a new friend tries to help him prove his innocence.",movie,148,Action,5.4
fary is the new black,Kader Aoun,2018,"Armed with sly wit; a fresh outlook and plenty of style; French comedy star Fary veers from dating to stereotypes and beyond in this exclusive special.",tvSpecial,74,Comedy,6.0
fashion,Madhur Bhandarkar,2008,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.,movie,167,"Drama;Romance",6.9
fatal affair,Peter Sullivan,2020,A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.,movie,89,Thriller,4.5
fate/apocrypha,,2017,The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale.,tvSeries,24,"Action;Animation;Drama",6.5
fate/extra last encore,,2018,"Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion; he must fight to survive.",tvSeries,24,"Action;Animation;Fantasy",5.4
fate/zero,,2012,"After three unsettled battles for the mystical Holy Grail; an artifact that grants a miracle to those who hold it; a fourth war begins.",tvEpisode,24,"Action;Animation;Drama",8.8
